#Airline Flight Schedule - USA 490
#Commented by David Powell (dep) 267
#Sun Jan 26 00:35:54 EST 1997 263
#revised Tue Feb 18 01:33:21 EST 1997 by bh 300
# -- removed extraneous fields 185
# 119
# 487
#Fields: 348
# 2 - Airline 400
# 4 - Flight (left-padded with whitespace) 198
# 2 - <padding> 170
# 3 - Source Airport 373
# 1 - <padding> 297
# 5 - Departure Time (left-padded with whitespace) 78
# 2 - <padding> 8
# 3 - Destination Airport 369
# 1 - <padding> 352
# 5 - Arrival Time (left-padded with whitespace) 370
# 2 - <padding> 31
# 3 - Plane type 61
# 3 - <padding> 258
# remainder - Flight Classes 168
# 247
UA1065  SEA  625A  SFO  829A  733    F  Y  B  M  Q 310
AS  30  SEA  700A  SFO  905A  M80    F  Y  B  M  H 81
US2164  SEA  710A  SFO  909A  733    F  Y  B  H  Q 145
UA1415  SEA  730A  SFO  927A  72S    F  Y  B  M  Q 429
AS 146  SEA  745A  SFO  940A  727    F  Y  B  M  H 95
UA1751  SEA  830A  SFO 1034A  733    F  Y  B  M  Q 395
UA1149  SEA  930A  SFO 1133A  733    F  Y  B  M  Q 333
AS 150  SEA  940A  SFO 1145A  M80    F  Y  B  M  H 164
UA 839  SEA 1030A  SFO 1233P  735    F  Y  B  M  Q 484
UA1145  SEA 1130A  SFO  129P  72S    F  Y  B  M  Q 390
AS 188  SEA 1145A  SFO  150P  72S    F  Y  B  M  H 398
UA1759  SEA 1230P  SFO  230P  73S    F  Y  B  M  Q 9
UA1761  SEA  130P  SFO  332P  73S    F  Y  B  M  Q 279
UA1071  SEA  230P  SFO  428P  733    F  Y  B  M  Q 178
AS  88  SEA  250P  SFO  450P  72S    F  Y  B  M  H 439
UA1709  SEA  330P  SFO  522P  D10    F  Y  B  M  Q 384
US2168  SEA  425P  SFO  621P  733    F  Y  B  H  Q 242
UA1557  SEA  430P  SFO  622P  72S    F  Y  B  M  Q 286
AS 176  SEA  435P  SFO  635P  72S    F  Y  B  M  H 131
AS 196  SEA  520P  SFO  725P  M80    F  Y  B  M  H 37
UA1785  SEA  530P  SFO  729P  733    F  Y  B  M  Q 88
UA1779  SEA  630P  SFO  830P  73S    F  Y  B  M  Q 76
US 603  SEA  655P  SFO  851P  733    F  Y  B  H  Q 232
AS  94  SEA  659P  SFO  900P  72S    F  Y  B  M  H 218
UA1405  SEA  730P  SFO  921P  72S    F  Y  B  M  Q 160
UA1781  SEA  830P  SFO 1026P  73S    F  Y  B  M  Q 58
UA1750  SFO  630A  SEA  831A  73S    F  Y  B  M  Q 278
AS 143  SFO  730A  SEA  930A  M80    F  Y  B  M  H 395
UA1468  SFO  730A  SEA  933A  73S    F  Y  B  M  Q 453
UA1250  SFO  830A  SEA 1035A  737    F  Y  B  M  Q 355
US2106  SFO  905A  SEA 1110A  733    F  Y  B  H  Q 487
AS  93  SFO  915A  SEA 1115A  72S    F  Y  B  M  H 137
UA1430  SFO  930A  SEA 1136A  733    F  Y  B  M  Q 425
AS 147  SFO 1025A  SEA 1220P  727    F  Y  B  M  H 287
UA1552  SFO 1030A  SEA 1232P  72S    F  Y  B  M  Q 194
UA1760  SFO 1130A  SEA  136P  733    F  Y  B  M  Q 22
UA 838  SFO 1230P  SEA  240P  735    F  Y  B  M  Q 240
UA1108  SFO  130P  SEA  336P  735    F  Y  B  M  Q 311
AS  87  SFO  225P  SEA  420P  72S    F  Y  B  M  H 340
UA1706  SFO  230P  SEA  432P  737    F  Y  B  M  Q 172
UA1776  SFO  330P  SEA  532P  73S    F  Y  B  M  Q 400
US2173  SFO  410P  SEA  610P  733    F  Y  B  H  Q 305
AS 195  SFO  425P  SEA  620P  M80    Y  B  M  H  Q 333
UA1770  SFO  430P  SEA  628P  72S    F  Y  B  M  Q 283
AS 157  SFO  530P  SEA  725P  72S    F  Y  B  M  H 406
UA1716  SFO  530P  SEA  732P  73S    F  Y  B  M  Q 435
UA1170  SFO  630P  SEA  832P  733    F  Y  B  M  Q 310
US2171  SFO  755P  SEA  955P  733    F  Y  B  H  Q 255
AS  31  SFO  825P  SEA 1020P  M80    F  Y  B  M  H 384
UA1774  SFO  920P  SEA 1122P  733    F  Y  B  M  Q 74
DL 808  SFO  600A  LAX  704A  757    F  Y  B  M  Q 112
UA1731  SFO  630A  LAX  748A  72S    F  Y  B  M  Q 281
US1492  SFO  700A  LAX  810A  733    F  Y  B  H  Q 354
DL 987  SFO  700A  LAX  807A  73S    F  Y  B  M  Q 26
PA 445  SFO  700A  LAX  826A  AB3    F  Y  B  M  Q 7
UA1101  SFO  700A  LAX  820A  D10    F  Y  B  M  Q 3
UA1701  SFO  730A  LAX  850A  737    F  Y  B  M  Q 50
DL 823  SFO  800A  LAX  915A  73S    F  Y  B  M  Q 20
US2167  SFO  800A  LAX  910A  733    F  Y  B  H  Q 466
PA 481  SFO  800A  LAX  924A  72S    F  Y  B  M  Q 104
UA1103  SFO  800A  LAX  923A  735    F  Y  B  M  Q 469
